Country,Population (millions),Sex ratio (males to females),Population aged 0 to 14 years old (proportion),Population aged 60+ years old (proportion),Population density (per km2),Number of international migrants,International migrants in proportion to population,Total fertility rate (children per women),Under five mortality rate for both sexes (proportion to live births),Life expectancy at birth (years),Population annual rate of increase (proportion),Urban population (proportion),Urban population (growth rate per annum),Rural population (growth rate per annum),GDP (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth
Afghanistan,42.65,1.02,0.429,0.039,65.7,144098.0,0.004,4.8,0.0545,66.3,0.027999999999999997,25.5,0.04,0.028999999999999998,15145.0,537.0,0.025
Albania,2.79,0.978,0.168,0.235,101.9,48810.0,0.017,1.3,0.0083,79.8,-0.006999999999999999,60.3,0.018000000000000002,-0.025,11927.0,4094.0,0.037000000000000005
Algeria,46.81,1.041,0.303,0.1,19.7,250378.0,0.006,2.7,0.0205,76.5,0.013999999999999999,72.6,0.028999999999999998,-0.002,161207.0,4496.0,0.036000000000000004
American Samoa,0.05,1.0190000000000001,0.27,0.129,233.8,23608.0,0.428,2.3,0.0104,73.0,-0.016,87.2,-0.001,0.005,,,
Andorra,0.08,1.046,0.11900000000000001,0.23199999999999998,174.3,45574.0,0.59,1.1,0.006,84.2,0.013000000000000001,88.1,-0.017,-0.008,3447.0,48191.0,-0.02
Angola,37.89,0.98,0.444,0.046,30.4,656434.0,0.02,5.0,0.0631,64.8,0.03,65.5,0.047,0.016,83799.0,3587.0,0.049
Anguilla,0.01,0.945,0.163,0.184,165.9,5715.0,0.381,1.4,0.0055,79.5,0.01,100.0,0.012,0.0,268.0,20326.0,-0.046
Antigua and Barbuda,0.09,0.9079999999999999,0.17800000000000002,0.177,213.1,29386.0,0.3,1.6,0.0092,77.8,0.005,24.6,0.001,0.013999999999999999,1149.0,13405.0,-0.078
Argentina,45.7,0.985,0.21600000000000003,0.168,16.4,2281728.0,0.05,1.5,0.010199999999999999,77.5,0.003,91.9,0.012,-0.004,426487.0,10377.0,0.10099999999999999
Armenia,2.97,0.867,0.192,0.204,104.5,190349.0,0.064,1.7,0.0104,75.8,-0.006999999999999999,63.1,0.002,0.005,9875.0,3352.0,0.022000000000000002
Aruba,0.11,0.895,0.168,0.248,600.4,53593.0,0.502,1.6,0.013300000000000001,76.5,0.001,43.4,0.005,0.005,2454.0,24453.0,-0.027999999999999997
Australia,26.71,0.985,0.17800000000000002,0.235,3.5,7685860.0,0.301,1.6,0.0032,84.1,0.01,86.0,0.016,0.008,1301324.0,59100.0,0.024
Austria,9.12,0.97,0.142,0.27899999999999997,110.5,1738183.0,0.193,1.3,0.0034,82.1,-0.001,58.3,0.006999999999999999,0.005,391893.0,46861.0,0.018000000000000002
Azerbaijan,10.34,0.961,0.218,0.142,125.1,252228.0,0.025,1.7,0.0169,74.6,0.006,55.7,0.017,0.006999999999999999,52906.0,5727.0,0.05
Bahamas,0.4,0.914,0.179,0.17,74.9,63583.0,0.162,1.4,0.0125,74.7,0.005,83.0,0.015,0.01,10096.0,27047.0,0.015
Bahrain,1.61,1.6340000000000001,0.187,0.067,2052.4,936094.0,0.55,1.8,0.0062,81.4,0.024,89.3,0.021,0.013999999999999999,25713.0,21187.0,0.043
Bangladesh,173.56,0.9670000000000001,0.28,0.095,1333.4,2115408.0,0.013000000000000001,2.1,0.021,74.9,0.012,36.6,0.035,0.0,123085.0,829.0,0.075
Barbados,0.28,0.9209999999999999,0.172,0.233,656.9,34869.0,0.121,1.7,0.0123,76.3,0.001,31.1,-0.001,0.005,4531.0,16494.0,-0.023
Belarus,9.06,0.873,0.163,0.25,44.6,1067090.0,0.113,1.2,0.0031,74.6,-0.006,78.6,0.006999999999999999,-0.021,57232.0,5881.0,0.077
Belgium,11.74,0.973,0.16,0.272,387.7,2005479.0,0.17300000000000001,1.4,0.0034,82.3,0.002,98.0,0.006999999999999999,-0.013999999999999999,480952.0,44213.0,0.028999999999999998
Belize,0.42,1.018,0.266,0.08,18.3,62043.0,0.156,2.0,0.0105,73.7,0.013999999999999999,45.7,0.023,0.022000000000000002,1739.0,5399.0,0.012
Benin,14.46,1.006,0.41600000000000004,0.05,128.3,394276.0,0.033,4.5,0.0775,61.0,0.024,47.3,0.04,0.019,9526.0,1009.0,0.021
Bermuda,0.06,0.958,0.136,0.299,1197.0,19739.0,0.317,1.4,0.0023,82.5,-0.001,100.0,-0.006,0.0,6636.0,104589.0,0.006
Bhutan,0.79,1.148,0.209,0.096,20.6,53612.0,0.069,1.4,0.0215,73.3,0.006,40.9,0.037000000000000005,0.003,1548.0,2194.0,0.11900000000000001
Bolivia,12.41,1.004,0.298,0.085,11.5,164121.0,0.013999999999999999,2.5,0.0404,68.7,0.013999999999999999,69.4,0.021,0.004,19650.0,1922.0,0.040999999999999995
"Bonaire, St. Eustatius & Saba",0.03,1.061,0.158,0.217,93.5,26221.0,1.0,1.5,0.0124,77.6,0.023,74.9,0.032,0.032,,,
Bosnia and Herz.,3.16,0.9079999999999999,0.13,0.302,61.8,36042.0,0.011000000000000001,1.5,0.0054,78.0,-0.006999999999999999,48.2,-0.003,-0.016,17176.0,4507.0,0.009000000000000001
Botswana,2.52,0.9940000000000001,0.321,0.061,4.4,110268.0,0.047,2.7,0.0368,69.3,0.016,69.4,0.033,-0.009000000000000001,12637.0,6042.0,0.10099999999999999
Brazil,212.0,0.968,0.19699999999999998,0.161,25.4,1079708.0,0.005,1.6,0.013699999999999999,76.0,0.004,86.6,0.012,-0.01,2208838.0,11249.0,0.075
British Virgin Islands,0.04,0.9,0.145,0.15,256.3,22164.0,0.733,1.0,0.0123,77.4,0.006999999999999999,47.7,0.027999999999999997,0.013999999999999999,1118.0,40556.0,0.02
Brunei,0.46,1.1320000000000001,0.20800000000000002,0.109,80.3,111959.0,0.256,1.7,0.009300000000000001,75.5,0.008,77.6,0.019,0.0,13707.0,34609.0,0.026000000000000002
Bulgaria,6.76,0.938,0.145,0.28600000000000003,62.3,184363.0,0.027000000000000003,1.7,0.005900000000000001,75.8,-0.006,75.0,-0.002,-0.019,50689.0,6676.0,0.016
Burkina Faso,23.55,0.993,0.418,0.043,86.1,723989.0,0.035,4.1,0.0815,61.3,0.022000000000000002,29.4,0.052000000000000005,0.022000000000000002,10100.0,627.0,0.084
Burundi,14.05,0.987,0.447,0.039,541.3,344767.0,0.028999999999999998,4.8,0.0479,63.8,0.025,13.0,0.055999999999999994,0.027000000000000003,2032.0,223.0,0.051
Cabo Verde,0.52,1.035,0.255,0.106,130.2,15788.0,0.027999999999999997,1.5,0.0116,76.2,0.005,65.7,0.02,-0.002,1825.0,3502.0,0.018000000000000002
Cambodia,17.64,0.961,0.298,0.096,97.4,79341.0,0.005,2.5,0.0222,70.8,0.012,23.4,0.034,0.011000000000000001,11242.0,783.0,0.06
Cameroon,29.12,0.993,0.414,0.044000000000000004,62.5,579209.0,0.022000000000000002,4.3,0.0658,64.0,0.026000000000000002,56.4,0.038,0.013999999999999999,27481.0,1382.0,0.028999999999999998
Canada,39.74,0.986,0.151,0.266,4.4,8049323.0,0.213,1.3,0.0047,82.7,0.01,81.4,0.011000000000000001,0.006999999999999999,1617267.0,47618.0,0.031
Cayman Islands,0.07,1.008,0.162,0.145,309.0,29242.0,0.445,1.5,0.0015,80.5,0.019,100.0,0.015,0.0,4157.0,76872.0,-0.027000000000000003
Central African Rep.,5.33,0.9229999999999999,0.49,0.036000000000000004,8.6,88546.0,0.018000000000000002,6.0,0.09259999999999999,57.7,0.034,41.4,0.011000000000000001,0.0,2141.0,459.0,0.046
Chad,20.3,1.006,0.461,0.035,16.1,547494.0,0.033,6.0,0.0983,55.2,0.042,23.1,0.038,0.031,12176.0,1024.0,0.174
Channel Islands,,,,,,84087.0,0.484,,,,,30.9,0.005,0.005,,,
Chile,19.76,0.988,0.17,0.196,26.2,1645015.0,0.086,1.1,0.0064,81.4,0.005,87.6,0.01,0.004,218538.0,12852.0,0.057999999999999996
China,1419.32,1.038,0.16,0.20600000000000002,147.8,1039675.0,0.001,1.0,0.008,78.0,-0.002,59.2,0.028999999999999998,-0.021,6087188.0,4515.0,0.106
"China, Hong Kong SAR",7.41,0.82,0.105,0.311,6747.0,2962492.0,0.395,0.7,0.0019,85.6,-0.005,100.0,0.006,0.0,228639.0,32056.0,0.068
"China, Macao SAR",0.72,0.8540000000000001,0.139,0.21100000000000002,22508.2,403490.0,0.621,0.7,0.0034,83.2,0.004,100.0,0.023,0.0,28242.0,50676.0,0.251
Colombia,52.89,0.9740000000000001,0.203,0.146,47.1,1905393.0,0.037000000000000005,1.6,0.011699999999999999,77.9,0.01,80.8,0.013999999999999999,-0.006999999999999999,286563.0,6394.0,0.045
Comoros,0.87,1.012,0.371,0.067,465.7,12496.0,0.013999999999999999,3.8,0.0448,67.0,0.019,29.0,0.027000000000000003,0.023,907.0,1383.0,0.048
Congo,6.33,1.0,0.40399999999999997,0.05,18.5,387606.0,0.07,4.1,0.038700000000000005,66.0,0.024,66.9,0.033,0.013000000000000001,13136.0,2960.0,0.099
Cook Islands,0.01,0.9590000000000001,0.243,0.204,57.2,4579.0,0.261,2.0,0.0065,75.5,-0.035,75.1,-0.009000000000000001,-0.021,241.0,13990.0,-0.049
Costa Rica,5.13,0.977,0.188,0.175,100.5,520729.0,0.102,1.3,0.0075,81.0,0.005,79.3,0.025,-0.028999999999999998,37659.0,8147.0,0.054000000000000006
Croatia,3.88,0.932,0.139,0.305,69.3,528056.0,0.129,1.5,0.004,78.8,-0.006999999999999999,56.9,-0.001,-0.009000000000000001,60802.0,13918.0,-0.012
Cuba,10.98,0.9740000000000001,0.153,0.24,102.8,3024.0,0.0,1.4,0.0056,78.3,-0.004,77.0,0.003,0.0,64328.0,5698.0,0.024
CuraÃ§ao,0.19,0.9079999999999999,0.149,0.237,437.5,57210.0,0.349,1.1,0.0099,77.0,0.0,,,,2949.0,18502.0,0.001
Curaçao,,,,,,,,,,,,89.1,0.012,0.024,,,
Cyprus,1.36,1.015,0.161,0.2,147.0,190366.0,0.158,1.4,0.0029,81.8,0.009000000000000001,66.8,0.006999999999999999,0.012,25775.0,31075.0,0.023
Czechia,10.74,0.973,0.154,0.265,139.1,540921.0,0.051,1.5,0.0026,80.0,-0.01,73.8,0.002,0.0,209070.0,19978.0,0.024
CÃ´te dâIvoire,31.93,1.036,0.409,0.043,100.4,2564857.0,0.09699999999999999,4.2,0.0663,62.1,0.024,,,,26264.0,1244.0,0.077
Côte dIvoire,,,,,,,,,,,,50.8,0.034,0.017,,,
Dem. Rep. Congo,109.28,0.985,0.46,0.048,48.2,952871.0,0.011000000000000001,6.0,0.0724,62.1,0.032,44.5,0.046,0.024,21566.0,325.0,0.071
Denmark,5.98,0.988,0.157,0.271,141.0,717574.0,0.124,1.5,0.0034,82.1,0.005,87.9,0.006,-0.006999999999999999,321995.0,58008.0,0.019
Djibouti,1.17,0.983,0.292,0.076,50.4,119738.0,0.121,2.6,0.049100000000000005,66.2,0.013000000000000001,77.8,0.018000000000000002,0.013999999999999999,1244.0,1353.0,0.11699999999999999
Dominica,0.07,1.0,0.179,0.18899999999999997,88.3,8284.0,0.115,1.5,0.0317,71.3,-0.004,70.5,0.009000000000000001,-0.005,494.0,7182.0,0.006999999999999999
Dominican Rep.,11.43,0.9890000000000001,0.266,0.11800000000000001,236.5,603794.0,0.055999999999999994,2.2,0.0315,73.9,0.008,81.1,0.025,-0.027999999999999997,53160.0,5438.0,0.083
Ecuador,18.14,0.9940000000000001,0.245,0.12,73.0,784787.0,0.044000000000000004,1.8,0.0121,77.6,0.009000000000000001,63.8,0.018000000000000002,0.012,69555.0,4640.0,0.035
Egypt,116.54,1.02,0.32,0.08199999999999999,117.1,543937.0,0.005,2.7,0.0162,71.8,0.016,42.7,0.021,0.023,214630.0,2460.0,0.051
El Salvador,6.34,0.905,0.248,0.11599999999999999,305.9,42767.0,0.006999999999999999,1.8,0.011300000000000001,72.3,0.004,72.0,0.017,-0.021,18448.0,3017.0,0.021
Eq. Guinea,1.89,1.115,0.373,0.061,67.5,230618.0,0.16399999999999998,4.1,0.0692,63.9,0.024,72.1,0.055999999999999994,0.013000000000000001,16299.0,14891.0,-0.08900000000000001
Eritrea,3.54,0.975,0.381,0.064,29.2,13934.0,0.004,3.7,0.0339,68.9,0.019,40.1,0.036000000000000004,0.01,1590.0,505.0,0.109
Estonia,1.36,0.9059999999999999,0.156,0.27699999999999997,31.3,199277.0,0.15,1.4,0.0023,79.3,-0.01,68.9,-0.002,-0.005,19535.0,14671.0,0.024
Ethiopia,132.06,1.004,0.391,0.051,132.1,1085517.0,0.009000000000000001,3.9,0.0432,67.6,0.026000000000000002,20.8,0.049,0.021,26311.0,295.0,0.126
Falkland Is.,0.0,0.975,0.163,0.19399999999999998,0.3,1957.0,0.562,1.7,0.0104,79.4,0.0,77.7,0.01,-0.018000000000000002,,,
Faroe Islands,0.06,1.069,0.2,0.23399999999999999,40.0,6812.0,0.139,2.2,0.007,80.4,0.012,42.1,0.005,-0.001,,,
Fiji,0.93,0.985,0.271,0.105,50.8,14087.0,0.016,2.3,0.020399999999999998,67.5,0.005,56.2,0.017,-0.004,3140.0,3470.0,0.03
Finland,5.62,0.977,0.146,0.304,18.6,386052.0,0.07,1.3,0.0023,82.1,0.002,85.4,0.008,-0.015,249181.0,46461.0,0.032
France,66.55,0.941,0.165,0.284,120.7,8524876.0,0.131,1.6,0.0038,83.5,0.002,80.4,0.008,-0.008,2642610.0,40926.0,0.019
French Guiana,0.31,0.9279999999999999,0.311,0.10800000000000001,3.8,119249.0,0.39899999999999997,3.3,0.0111,77.2,0.017,85.3,0.031,0.008,,,
French Polynesia,0.28,1.023,0.191,0.16699999999999998,76.5,30081.0,0.107,1.5,0.006,84.2,0.002,61.8,0.012,0.0,6081.0,21427.0,-0.025
Gabon,2.54,1.031,0.365,0.063,9.9,416651.0,0.187,3.6,0.0363,68.5,0.021,89.4,0.039,-0.006999999999999999,14359.0,8391.0,0.071
Gambia,2.76,0.992,0.402,0.052000000000000005,272.7,215659.0,0.08900000000000001,3.9,0.0431,66.1,0.023,61.3,0.044000000000000004,0.013999999999999999,1543.0,797.0,0.059000000000000004
Georgia,3.81,0.873,0.20800000000000002,0.22,54.8,79368.0,0.02,1.8,0.0077,74.7,0.0,58.6,-0.006999999999999999,-0.022000000000000002,12243.0,3191.0,0.062
Germany,84.55,0.976,0.139,0.31,242.6,15762457.0,0.188,1.4,0.0034,81.5,-0.003,77.3,0.003,0.0,3396354.0,41763.0,0.042
Ghana,34.43,0.998,0.358,0.061,151.3,476412.0,0.015,3.3,0.040100000000000004,65.7,0.019,56.1,0.036000000000000004,0.009000000000000001,42587.0,1665.0,0.079
Gibraltar,0.04,0.991,0.17600000000000002,0.23399999999999999,3932.9,11190.0,0.332,1.9,0.0104,83.6,0.021,100.0,0.006,0.0,,,
Greece,10.05,0.9390000000000001,0.132,0.307,76.8,1340456.0,0.129,1.3,0.0034,82.0,-0.018000000000000002,79.1,0.001,-0.019,296835.0,26902.0,-0.055
Greenland,0.06,1.109,0.20800000000000002,0.182,0.1,5899.0,0.10400000000000001,1.9,0.0114,70.2,-0.002,86.8,0.003,-0.024,2503.0,44421.0,0.017
Grenada,0.12,1.005,0.19399999999999998,0.17600000000000002,344.7,7213.0,0.064,1.5,0.0144,75.4,0.001,36.3,0.005,0.004,771.0,6761.0,-0.005
Guadeloupe,0.38,0.825,0.163,0.32,230.4,90206.0,0.225,2.1,0.008,82.2,-0.003,98.5,0.0,-0.004,,,
Guam,0.17,1.0270000000000001,0.26,0.18100000000000002,310.1,80472.0,0.47700000000000004,2.7,0.011800000000000001,77.4,0.006999999999999999,94.8,0.004,-0.012,,,
Guatemala,18.41,0.9840000000000001,0.316,0.071,171.8,84311.0,0.005,2.3,0.0212,72.7,0.015,51.1,0.027000000000000003,0.015,40682.0,2797.0,0.028999999999999998
Guernsey,0.06,0.977,0.14,0.29,1004.4,,,1.4,0.0066,83.4,0.003,,,,,,
Guinea,14.75,0.98,0.409,0.053,60.0,121437.0,0.009000000000000001,4.1,0.092,60.9,0.023,36.1,0.031,0.018000000000000002,6853.0,667.0,0.048
Guinea-Bissau,2.2,0.977,0.38799999999999996,0.049,78.3,17945.0,0.009000000000000001,3.8,0.0682,64.3,0.022000000000000002,43.4,0.036000000000000004,0.019,849.0,542.0,0.046
Guyana,0.83,0.9490000000000001,0.292,0.105,4.2,31169.0,0.04,2.4,0.0222,70.3,0.006,26.6,0.004,0.006,3433.0,4590.0,0.040999999999999995
Haiti,11.77,0.98,0.312,0.073,427.0,18884.0,0.002,2.6,0.056799999999999996,65.1,0.011000000000000001,55.3,0.033,-0.006,12012.0,1220.0,-0.027999999999999997
Holy See,,,,,,809.0,1.0,,,,,100.0,0.002,0.0,,,
Honduras,10.83,1.014,0.306,0.068,99.3,39195.0,0.004,2.5,0.015,73.0,0.017,57.1,0.03,0.004,15839.0,1874.0,0.037000000000000005
Hungary,9.68,0.924,0.14400000000000002,0.266,106.9,584567.0,0.061,1.5,0.0036,77.2,-0.003,71.4,0.002,-0.013000000000000001,132175.0,13235.0,0.011000000000000001
Iceland,0.39,1.0490000000000002,0.17800000000000002,0.21100000000000002,3.9,65424.0,0.192,1.5,0.0016,83.0,0.013999999999999999,93.8,0.006,0.002,13751.0,43197.0,-0.027999999999999997
India,1450.94,1.065,0.24600000000000002,0.10800000000000001,488.0,4878704.0,0.004,2.0,0.0282,72.2,0.009000000000000001,34.0,0.024,0.006999999999999999,1669620.0,1346.0,0.085
Indonesia,283.49,1.0090000000000001,0.24600000000000002,0.115,148.4,355505.0,0.001,2.1,0.019899999999999998,71.3,0.008,55.3,0.026000000000000002,-0.002,755094.0,3094.0,0.062
Iran,91.57,1.033,0.22399999999999998,0.122,56.2,2797235.0,0.033,1.7,0.0109,77.9,0.01,74.9,0.02,-0.006999999999999999,523804.0,6949.0,0.069
Iraq,46.04,1.008,0.366,0.055,106.1,365766.0,0.009000000000000001,3.2,0.0224,72.4,0.021,70.5,0.034,0.027000000000000003,138517.0,4430.0,0.064
Ireland,5.26,0.98,0.18600000000000003,0.214,76.9,871256.0,0.17600000000000002,1.6,0.0032,82.6,0.011000000000000001,63.2,0.006,-0.002,221697.0,48998.0,0.017
Isle of Man,0.08,0.981,0.142,0.306,147.1,43040.0,0.506,1.5,0.0134,81.1,0.0,52.6,0.009000000000000001,0.006999999999999999,,,
Israel,9.39,0.992,0.27399999999999997,0.165,433.7,1953575.0,0.226,2.8,0.0037,82.7,0.013999999999999999,92.4,0.017,0.008,238913.0,32601.0,0.055999999999999994
Italy,59.34,0.956,0.11900000000000001,0.321,200.5,6386998.0,0.106,1.2,0.0026,83.9,-0.003,70.4,0.003,-0.009000000000000001,2134018.0,35673.0,0.017
Jamaica,2.84,0.978,0.187,0.13,262.2,23629.0,0.008,1.4,0.0189,71.6,0.0,55.7,0.008,-0.001,13221.0,4836.0,-0.015
Japan,123.75,0.953,0.114,0.359,328.4,2770996.0,0.022000000000000002,1.2,0.0023,84.9,-0.005,91.6,0.0,-0.013999999999999999,5759072.0,44956.0,0.040999999999999995
Jersey,0.1,0.9740000000000001,0.14300000000000002,0.262,895.2,,,1.4,0.009800000000000001,79.8,0.002,,,,,,
Jordan,11.55,1.065,0.307,0.073,130.1,3457691.0,0.33899999999999997,2.6,0.013300000000000001,78.0,0.004,91.0,0.057999999999999996,-0.023,27134.0,3915.0,0.023
Kazakhstan,20.59,0.95,0.294,0.132,7.6,3732073.0,0.19899999999999998,3.0,0.0079,74.5,0.012,57.4,0.017,0.013999999999999999,148047.0,8904.0,0.073
Kenya,56.43,0.9890000000000001,0.368,0.048,97.2,1050147.0,0.02,3.2,0.040100000000000004,63.8,0.019,27.0,0.044000000000000004,0.021,45406.0,1094.0,0.081
Kiribati,0.13,0.943,0.34700000000000003,0.07200000000000001,185.3,3126.0,0.026000000000000002,3.1,0.053899999999999997,66.6,0.015,54.1,0.035,0.001,155.0,1438.0,-0.011000000000000001
Kosovo,1.68,0.968,0.207,0.14800000000000002,154.5,,,1.5,0.01,78.2,-0.006999999999999999,,,,5339.0,2978.0,0.049
Kuwait,4.93,1.5719999999999998,0.182,0.059000000000000004,276.9,3110159.0,0.728,1.5,0.0076,80.6,0.02,100.0,0.054000000000000006,0.0,115416.0,39212.0,-0.024
Kyrgyzstan,7.19,0.978,0.32299999999999995,0.095,37.5,199011.0,0.031,2.8,0.0146,71.8,0.015,36.4,0.018000000000000002,0.013999999999999999,4794.0,874.0,-0.005
LDCÂ§,1188.01,0.986,0.387,0.059000000000000004,59.2,,,3.9,0.0554,66.5,0.023,,,,,,
LLDCs,592.79,0.987,0.384,0.06,18.0,,,3.8,0.052399999999999995,66.8,0.022000000000000002,,,,,,
Laos,7.77,1.01,0.302,0.075,33.7,48731.0,0.006999999999999999,2.4,0.037200000000000004,69.2,0.013000000000000001,35.0,0.032,0.004,7313.0,1157.0,0.081
Latvia,1.87,0.8640000000000001,0.154,0.28800000000000003,30.1,239422.0,0.127,1.3,0.0034,76.3,-0.008,68.1,-0.012,-0.013000000000000001,23964.0,11403.0,-0.045
Lebanon,5.81,0.9470000000000001,0.262,0.147,567.5,1712762.0,0.251,2.2,0.0181,77.9,0.006999999999999999,88.6,0.062,0.047,38444.0,7695.0,0.08
