Country,Population (millions),Sex ratio (males to females),Population aged 0 to 14 years old (proportion),Population aged 60+ years old (proportion),Population density (per km2),Number of international migrants,International migrants in proportion to population,Total fertility rate (children per women),Under five mortality rate for both sexes (proportion to live births),Life expectancy at birth (years),Population annual rate of increase (proportion),Urban population (proportion),Urban population (growth rate per annum),Rural population (growth rate per annum),GDP (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth
Lesotho,2.34,0.95,0.345,0.057999999999999996,77.0,12060.0,0.006,2.7,0.0692,57.8,0.011000000000000001,28.2,0.028999999999999998,0.006999999999999999,2234.0,1105.0,0.053
Liberia,5.61,0.997,0.395,0.053,58.3,87947.0,0.017,3.9,0.0701,62.3,0.021,51.2,0.034,0.018000000000000002,1292.0,321.0,0.073
Libya,7.38,1.034,0.27399999999999997,0.08199999999999999,4.4,826537.0,0.12,2.3,0.0148,71.1,0.01,80.1,0.005,-0.009000000000000001,75381.0,11611.0,0.05
Liechtenstein,0.04,0.987,0.14300000000000002,0.284,249.2,25877.0,0.679,1.5,0.0064,83.7,0.006999999999999999,14.3,0.005,0.008,5621.0,156462.0,0.07400000000000001
Lithuania,2.86,0.894,0.147,0.27399999999999997,45.7,145184.0,0.053,1.2,0.0038,76.2,-0.005,67.7,-0.011000000000000001,-0.016,37138.0,11831.0,0.017
Luxembourg,0.67,1.013,0.158,0.215,259.9,298062.0,0.47600000000000003,1.4,0.0037,82.4,0.011000000000000001,91.0,0.026000000000000002,-0.009000000000000001,56159.0,110752.0,0.038
Madagascar,31.97,1.006,0.39299999999999996,0.054000000000000006,54.9,35563.0,0.001,3.9,0.0644,63.8,0.024,37.2,0.047,0.017,9983.0,459.0,0.006
Malawi,21.66,0.953,0.40700000000000003,0.04,229.0,191362.0,0.01,3.6,0.038200000000000005,67.6,0.026000000000000002,16.9,0.039,0.027999999999999997,6960.0,473.0,0.069
Malaysia,35.56,1.099,0.218,0.11599999999999999,108.2,3476560.0,0.107,1.5,0.0062,76.8,0.012,76.0,0.027000000000000003,-0.006,255018.0,8880.0,0.07400000000000001
Maldives,0.53,1.626,0.196,0.075,1759.3,70079.0,0.13,1.6,0.0054,81.3,0.004,39.8,0.039,0.021,2588.0,7158.0,0.068
Mali,24.48,1.018,0.461,0.037000000000000005,20.1,485829.0,0.024,5.5,0.0922,60.7,0.028999999999999998,42.4,0.05,0.017,10679.0,688.0,0.109
Malta,0.54,1.079,0.13,0.26,1713.0,114760.0,0.26,1.1,0.0055,83.5,0.012,94.6,0.006,-0.006,9027.0,21557.0,0.055
Marshall Islands,0.04,1.051,0.345,0.077,208.6,3298.0,0.055999999999999994,2.9,0.0272,67.1,-0.034,77.0,0.008,-0.016,160.0,3001.0,0.054000000000000006
Martinique,0.34,0.831,0.149,0.34299999999999997,323.8,68624.0,0.183,2.0,0.0076,82.7,-0.008,89.0,-0.005,-0.003,,,
Mauritania,5.17,0.963,0.42700000000000005,0.051,5.0,182286.0,0.039,4.6,0.0366,68.7,0.027999999999999997,53.7,0.048,0.012,5629.0,1646.0,0.026000000000000002
Mauritius,1.27,0.997,0.14800000000000002,0.19899999999999998,626.2,28893.0,0.023,1.2,0.0134,75.1,-0.002,40.8,-0.001,0.004,10004.0,7795.0,0.044000000000000004
Mayotte,0.33,0.9159999999999999,0.431,0.044000000000000004,870.7,111540.0,0.409,4.6,0.0109,76.2,0.032,46.1,0.02,0.036000000000000004,,,
Mexico,130.86,0.9420000000000001,0.245,0.122,66.8,1197624.0,0.009000000000000001,1.9,0.0125,75.3,0.008,80.2,0.018000000000000002,0.0,1105424.0,9823.0,0.05
Micronesia (Fed. States of),0.11,0.987,0.318,0.09300000000000001,161.7,2832.0,0.025,2.7,0.0223,67.4,0.005,22.7,0.003,0.001,297.0,2760.0,0.023
Moldova,3.04,0.852,0.198,0.23,92.3,104438.0,0.026000000000000002,1.7,0.011800000000000001,71.3,-0.012,42.6,-0.002,0.0,6975.0,1896.0,0.071
Monaco,0.04,0.958,0.135,0.435,25926.8,26601.0,0.6779999999999999,2.1,0.0045,86.5,-0.008,100.0,0.006,0.0,5362.0,161624.0,0.021
Mongolia,3.48,0.9940000000000001,0.322,0.087,2.2,21345.0,0.006999999999999999,2.6,0.011300000000000001,72.0,0.012,68.4,0.021,0.013999999999999999,7189.0,2660.0,0.064
Montenegro,0.64,0.9279999999999999,0.18100000000000002,0.242,46.2,70999.0,0.113,1.8,0.0034,77.3,-0.003,66.8,0.006,-0.008,4139.0,6559.0,0.027000000000000003
Montserrat,0.0,0.992,0.163,0.266,42.6,1379.0,0.276,1.4,0.0062,76.3,-0.006999999999999999,9.1,0.005,0.006999999999999999,56.0,11242.0,-0.069
Morocco,38.08,1.0170000000000001,0.256,0.12300000000000001,85.3,102358.0,0.003,2.2,0.016300000000000002,75.5,0.009000000000000001,62.5,0.024,0.0,96428.0,2970.0,0.051
Mozambique,34.63,0.9420000000000001,0.445,0.040999999999999995,44.0,338850.0,0.011000000000000001,4.7,0.063,63.8,0.028999999999999998,36.0,0.045,0.021,11412.0,495.0,0.067
Myanmar,54.5,0.991,0.243,0.114,83.4,76446.0,0.001,2.1,0.0414,67.1,0.006999999999999999,30.6,0.015,0.006,41445.0,839.0,0.102
Namibia,3.03,0.955,0.37,0.059000000000000004,3.7,109391.0,0.043,3.2,0.0363,67.5,0.021,50.0,0.046,0.003,11446.0,5452.0,0.06
Nauru,0.01,1.037,0.37799999999999995,0.051,597.3,2201.0,0.203,3.3,0.0253,62.3,0.006999999999999999,100.0,0.023,0.0,59.0,5788.0,0.087
Nepal,29.65,0.919,0.284,0.096,201.5,487564.0,0.017,2.0,0.0248,70.6,-0.002,19.7,0.032,0.006999999999999999,18365.0,676.0,0.062
Netherlands,18.23,0.987,0.15,0.273,541.4,2358333.0,0.138,1.4,0.0036,82.3,0.006999999999999999,91.5,0.01,-0.051,846555.0,50945.0,0.013000000000000001
Netherlands Antilles [former],,,,,,,,,,,,,,,3845.0,19984.0,-0.003
New Caledonia,0.29,0.973,0.213,0.16399999999999998,16.0,73141.0,0.256,2.0,0.0106,78.9,0.009000000000000001,70.7,0.021,0.0,9355.0,35785.0,0.069
New Zealand,5.21,0.988,0.18100000000000002,0.233,19.7,1381724.0,0.287,1.7,0.0047,82.2,0.008,86.5,0.011000000000000001,0.008,146518.0,33711.0,0.009000000000000001
Nicaragua,6.92,0.968,0.28800000000000003,0.083,57.5,42167.0,0.006,2.2,0.0132,75.1,0.013000000000000001,58.5,0.015,0.006999999999999999,8759.0,1496.0,0.044000000000000004
Niger,27.03,1.031,0.466,0.042,21.3,348056.0,0.013999999999999999,5.9,0.11370000000000001,61.4,0.033,16.4,0.039,0.038,7631.0,458.0,0.087
Nigeria,232.68,1.023,0.41,0.049,255.5,1308568.0,0.006,4.4,0.1028,54.6,0.021,50.3,0.046,0.011000000000000001,363360.0,2258.0,0.08
Niue,0.0,0.93,0.22899999999999998,0.231,7.0,588.0,0.363,2.5,0.0235,70.1,0.004,44.8,0.019,-0.013000000000000001,,,
North Korea,26.5,0.9790000000000001,0.18899999999999997,0.18100000000000002,220.1,49549.0,0.002,1.8,0.0167,73.7,0.003,61.9,0.008,0.001,13945.0,573.0,-0.005
North Macedonia,1.82,0.9470000000000001,0.168,0.247,73.2,131311.0,0.063,1.5,0.006900000000000001,77.5,-0.005,,,,9407.0,4493.0,0.034
Northern Mariana Islands,0.04,1.119,0.22,0.168,96.9,21843.0,0.38,2.3,0.0060999999999999995,78.9,-0.018000000000000002,91.6,0.002,-0.008,,,
Norway,5.58,1.016,0.162,0.24600000000000002,18.3,852238.0,0.157,1.4,0.0021000000000000003,83.5,0.01,82.2,0.017,-0.008,431052.0,88154.0,0.008
Oman,5.28,1.646,0.247,0.043,17.1,2372836.0,0.465,2.5,0.0101,80.2,0.044000000000000004,84.5,0.08,0.006999999999999999,64994.0,22552.0,0.025
Other non-specified areas,23.21,0.98,0.11699999999999999,0.26899999999999996,655.6,,,0.9,0.0044,80.7,-0.004,,,,,,
Pakistan,251.27,1.0290000000000001,0.36700000000000005,0.067,326.0,3276580.0,0.015,3.5,0.0581,67.8,0.015,36.7,0.027000000000000003,0.018000000000000002,182960.0,941.0,0.027999999999999997
Palau,0.02,1.167,0.182,0.17800000000000002,38.5,5088.0,0.281,1.9,0.0214,69.4,-0.001,79.9,0.017,-0.021,183.0,9883.0,0.004
Panama,4.52,1.0,0.249,0.135,60.9,313165.0,0.073,2.1,0.0132,79.8,0.012,67.7,0.022000000000000002,0.008,29729.0,8204.0,0.062
Papua New Guinea,10.58,1.0590000000000002,0.335,0.059000000000000004,23.4,31068.0,0.003,3.1,0.039200000000000006,66.3,0.018000000000000002,13.2,0.022000000000000002,0.022000000000000002,14251.0,1879.0,0.10099999999999999
Paraguay,6.93,1.006,0.28600000000000003,0.099,17.1,169567.0,0.024,2.4,0.0193,74.0,0.012,61.6,0.018000000000000002,0.006,27261.0,4726.0,0.111
Peru,34.22,0.9890000000000001,0.24,0.13,26.7,1224519.0,0.037000000000000005,2.0,0.0128,77.9,0.011000000000000001,77.9,0.016,0.005,147528.0,5047.0,0.083
Philippines,115.84,0.995,0.27899999999999997,0.08800000000000001,386.1,225525.0,0.002,1.9,0.0265,69.9,0.008,46.9,0.021,0.013000000000000001,208369.0,2202.0,0.073
Poland,38.54,0.94,0.14800000000000002,0.263,125.9,817254.0,0.022000000000000002,1.3,0.0038,78.8,-0.009000000000000001,60.1,-0.002,0.003,475697.0,12325.0,0.028999999999999998
Portugal,10.43,0.91,0.128,0.315,113.3,1001963.0,0.098,1.5,0.003,82.6,-0.001,65.2,0.005,-0.02,237881.0,22466.0,0.017
Puerto Rico,3.24,0.89,0.11599999999999999,0.318,373.0,247132.0,0.086,0.9,0.0065,81.9,-0.001,93.6,-0.003,0.004,98381.0,26461.0,-0.004
Qatar,3.05,2.4819999999999998,0.151,0.035,263.1,2226192.0,0.773,1.7,0.0068,82.5,0.024,99.1,0.067,-0.004,125122.0,73021.0,0.16699999999999998
Romania,19.02,0.9390000000000001,0.157,0.253,82.6,705310.0,0.037000000000000005,1.7,0.0063,76.1,-0.006,54.0,-0.005,-0.006,170029.0,8361.0,-0.039
Russia,144.82,0.866,0.17300000000000001,0.24,8.8,11636911.0,0.08,1.5,0.0053,73.3,-0.005,74.4,0.002,-0.002,1539845.0,10750.0,0.045
Rwanda,14.26,0.9520000000000001,0.374,0.061,588.9,513907.0,0.04,3.6,0.0354,68.0,0.021,17.2,0.026000000000000002,0.025,6120.0,594.0,0.073
RÃ©union,0.88,0.905,0.20800000000000002,0.221,351.4,131769.0,0.147,2.2,0.0053,83.7,0.004,,,,,,
Réunion,,,,,,,,,,,,99.6,0.009000000000000001,-0.156,,,
S. Sudan,11.94,0.968,0.389,0.05,21.2,882252.0,0.079,3.8,0.09820000000000001,57.7,0.021,19.6,0.044000000000000004,0.031,14925.0,1536.0,-0.005
SIDS,73.46,0.998,0.245,0.138,30.8,,,2.2,0.0347,72.9,0.008,,,,,,
Saint BarthÃ©lemy,0.01,0.883,0.191,0.244,511.7,,,0.8,0.006,84.4,0.013999999999999999,,,,,,
Saint Helena,0.01,0.992,0.13699999999999998,0.36,13.4,437.0,0.07200000000000001,1.6,0.013699999999999999,77.0,-0.008,39.8,-0.006999999999999999,-0.006999999999999999,,,
Saint Kitts and Nevis,0.05,0.9179999999999999,0.182,0.171,180.2,7725.0,0.145,1.5,0.0145,72.3,0.002,30.8,0.008,0.012,779.0,16428.0,-0.001
Saint Lucia,0.18,0.975,0.175,0.149,291.8,8338.0,0.045,1.4,0.0166,72.8,0.002,18.7,0.006,0.005,1483.0,8674.0,0.005
Saint Martin (French part),0.03,0.8690000000000001,0.213,0.258,493.0,,,2.7,0.009300000000000001,80.4,-0.049,,,,,,
Saint Pierre and Miquelon,0.01,0.976,0.13699999999999998,0.285,24.5,998.0,0.172,1.3,0.0095,76.9,-0.009000000000000001,89.9,0.001,-0.008,,,
Saint Vincent & Grenadines,0.1,1.038,0.213,0.17800000000000002,258.0,4738.0,0.043,1.8,0.014199999999999999,71.4,-0.006999999999999999,52.2,0.008,-0.008,720.0,6591.0,-0.045
Samoa,0.22,1.014,0.385,0.092,77.0,4021.0,0.02,3.8,0.0152,71.8,0.006,18.2,-0.004,0.011000000000000001,699.0,3589.0,0.016
San Marino,0.03,0.9670000000000001,0.12300000000000001,0.305,550.5,5543.0,0.163,1.2,0.0014,85.8,-0.002,97.2,0.013999999999999999,-0.042,2139.0,67684.0,-0.046
Sao Tome and Principe,0.24,0.988,0.37799999999999995,0.061,245.4,2139.0,0.01,3.6,0.0132,69.9,0.02,72.8,0.038,-0.01,197.0,1084.0,0.067
Saudi Arabia,33.96,1.534,0.23800000000000002,0.052000000000000005,15.8,13454842.0,0.386,2.3,0.0074,79.0,0.018000000000000002,83.8,0.031,0.015,528207.0,17959.0,0.05
Senegal,18.5,1.034,0.382,0.055999999999999994,96.1,274929.0,0.016,3.8,0.0342,68.9,0.023,47.2,0.039,0.022000000000000002,16106.0,1285.0,0.034
Serbia,6.74,0.903,0.14300000000000002,0.295,87.8,823011.0,0.094,1.5,0.0047,76.9,-0.006999999999999999,56.1,-0.001,-0.006999999999999999,41819.0,5464.0,0.006999999999999999
Seychelles,0.13,1.23,0.2,0.132,285.4,13050.0,0.133,2.1,0.0124,73.0,0.019,56.7,0.013000000000000001,-0.004,986.0,10669.0,0.064
Sierra Leone,8.64,0.995,0.381,0.052000000000000005,120.5,53746.0,0.006999999999999999,3.7,0.09570000000000001,62.0,0.021,42.1,0.033,0.016,2578.0,401.0,0.053
Singapore,5.83,1.069,0.11699999999999999,0.191,8539.4,2523648.0,0.431,1.0,0.0022,83.9,0.006999999999999999,100.0,0.017,0.0,239808.0,46442.0,0.145
Sint Maarten (Dutch part),0.04,0.948,0.151,0.215,1275.0,28845.0,0.6729999999999999,1.4,0.0145,76.5,0.013999999999999999,100.0,0.031,0.0,896.0,27138.0,0.011000000000000001
Slovakia,5.51,0.9540000000000001,0.158,0.248,112.3,197161.0,0.036000000000000004,1.6,0.0048,78.5,-0.005,53.7,-0.002,0.005,91074.0,16877.0,0.067
Slovenia,2.12,1.01,0.147,0.28600000000000003,105.2,277964.0,0.134,1.6,0.0018,81.8,-0.001,54.5,0.006999999999999999,-0.002,48161.0,23410.0,0.013000000000000001
Solomon Islands,0.82,1.046,0.37,0.057,28.4,2520.0,0.004,3.5,0.0171,70.7,0.024,23.7,0.043,0.016,898.0,1662.0,0.09699999999999999
Somalia,19.01,1.004,0.466,0.040999999999999995,30.3,58590.0,0.004,6.0,0.1021,59.0,0.034,45.0,0.048,0.015,2688.0,223.0,0.067
South Africa,64.01,0.948,0.259,0.102,52.4,2860495.0,0.048,2.2,0.0312,66.3,0.012,66.4,0.022000000000000002,0.0,417364.0,8060.0,0.03
South Korea,51.72,0.997,0.106,0.27399999999999997,522.7,1728182.0,0.034,0.7,0.0026,84.4,-0.001,81.5,0.003,0.006999999999999999,1144067.0,23438.0,0.068
Spain,47.91,0.9640000000000001,0.129,0.281,95.4,6842202.0,0.146,1.2,0.0029,83.8,0.0,80.3,0.001,-0.013000000000000001,1420722.0,30505.0,0.002
Sri Lanka,23.1,0.937,0.22,0.172,368.4,40254.0,0.002,2.0,0.0062,77.7,0.006,18.5,0.005,0.005,58636.0,2837.0,0.087
State of Palestine,5.5,0.986,0.38,0.059000000000000004,912.9,272784.0,0.053,3.2,0.0275,69.2,0.016,76.2,0.031,0.018000000000000002,9682.0,2425.0,0.057999999999999996
Sudan,50.45,0.983,0.405,0.053,28.6,1379147.0,0.031,4.3,0.053,66.5,0.016,34.6,0.027999999999999997,0.021,54740.0,1622.0,0.083
Sudan [former],,,,,,,,,,,,,,,69665.0,1603.0,0.066
Suriname,0.63,0.998,0.256,0.122,4.1,47801.0,0.081,2.2,0.0124,73.8,0.008,66.1,0.009000000000000001,0.012,4482.0,8207.0,0.061
Sweden,10.61,1.015,0.17,0.264,26.0,2003908.0,0.198,1.4,0.0024,83.4,0.005,87.4,0.011000000000000001,-0.013000000000000001,495813.0,52849.0,0.06
Switzerland,8.92,0.987,0.15,0.26899999999999996,223.1,2491249.0,0.28800000000000003,1.4,0.0036,84.1,0.005,73.8,0.012,0.011000000000000001,598851.0,76556.0,0.032
Syria,24.67,1.001,0.292,0.07400000000000001,134.3,868711.0,0.05,2.7,0.0214,72.6,0.04,54.2,-0.036000000000000004,-0.008,61391.0,2748.0,0.052000000000000005
TFYR of Macedonia,,,,,,,,,,,,58.0,0.002,-0.001,,,
Tajikistan,10.59,0.966,0.363,0.067,74.0,276031.0,0.028999999999999998,3.0,0.0259,71.9,0.019,27.1,0.024,0.022000000000000002,5642.0,740.0,0.065
Tanzania,68.56,0.983,0.425,0.045,77.4,426017.0,0.006999999999999999,4.5,0.038,67.2,0.028999999999999998,33.8,0.055,0.021,31553.0,719.0,0.064
Thailand,71.67,0.9490000000000001,0.147,0.22,140.3,3632496.0,0.052000000000000005,1.2,0.01,76.6,-0.001,49.9,0.021,-0.01,341105.0,4996.0,0.075
Timor-Leste,1.4,1.0170000000000001,0.337,0.075,94.2,8399.0,0.006,2.6,0.0451,67.9,0.013000000000000001,30.6,0.035,0.017,882.0,810.0,0.096
Togo,9.52,1.013,0.395,0.052000000000000005,174.9,279936.0,0.034,4.1,0.0573,62.9,0.022000000000000002,41.7,0.04,0.018000000000000002,4742.0,722.0,0.059000000000000004
Tokelau,0.0,0.958,0.261,0.126,208.9,1238.0,0.917,2.6,0.0052,77.2,0.043,0.0,0.0,0.019,,,
Tonga,0.1,0.895,0.354,0.09699999999999999,160.3,3742.0,0.035,3.1,0.0103,73.1,-0.004,23.1,0.003,0.005,371.0,3457.0,0.008
Trinidad and Tobago,1.51,0.978,0.17800000000000002,0.18600000000000003,293.9,78849.0,0.055999999999999994,1.5,0.0158,73.6,0.003,53.2,0.002,0.008,23505.0,16667.0,0.034
Tunisia,12.28,0.977,0.24,0.14400000000000002,79.0,60145.0,0.005,1.8,0.0115,76.7,0.006,68.9,0.016,0.003,44051.0,4043.0,0.035
Turkey,,,,,,,,,,,,75.1,0.024,-0.004,,,
Turkmenistan,7.49,0.9640000000000001,0.315,0.079,15.9,194920.0,0.032,2.7,0.0358,70.2,0.017,51.6,0.025,0.011000000000000001,22583.0,4287.0,0.162
Turks and Caicos Islands,0.05,1.002,0.161,0.16899999999999998,49.0,25748.0,0.665,1.5,0.0056,78.2,0.006999999999999999,93.1,0.025,-0.024,687.0,23104.0,0.01
Tuvalu,0.01,1.048,0.32899999999999996,0.111,321.5,239.0,0.02,3.2,0.0193,67.3,-0.017,62.4,0.026000000000000002,-0.013999999999999999,31.0,2976.0,-0.033
TÃ¼rkiye,87.47,0.997,0.214,0.15,113.7,6052652.0,0.07200000000000001,1.6,0.011300000000000001,77.4,0.002,,,,776967.0,10615.0,0.084
Uganda,50.02,0.9840000000000001,0.435,0.035,250.3,1720313.0,0.038,4.2,0.037700000000000004,68.5,0.027000000000000003,23.8,0.06,0.027000000000000003,30701.0,949.0,0.19899999999999998
Ukraine,37.86,0.8690000000000001,0.139,0.263,65.4,4997387.0,0.114,1.0,0.0060999999999999995,74.7,0.022000000000000002,69.4,-0.004,-0.008,136012.0,2977.0,0.003
United Arab Emirates,11.03,1.77,0.161,0.037000000000000005,155.3,8716332.0,0.8809999999999999,1.2,0.0062,83.1,0.034,86.5,0.024,-0.001,300189.0,35392.0,0.027999999999999997
United Kingdom,69.14,0.97,0.172,0.255,284.8,9359587.0,0.138,1.6,0.004200000000000001,81.4,0.006,83.4,0.01,-0.008,2485483.0,39603.0,0.022000000000000002
United States Virgin Islands,0.08,0.909,0.165,0.305,242.6,56753.0,0.5429999999999999,2.1,0.0055,75.7,-0.009000000000000001,95.7,-0.001,-0.032,,,
United States of America,345.43,1.01,0.17300000000000001,0.242,37.8,50632836.0,0.153,1.6,0.005900000000000001,79.5,0.005,82.3,0.009000000000000001,-0.002,15048970.0,48361.0,0.027000000000000003
Uruguay,3.39,0.9420000000000001,0.183,0.214,19.6,108267.0,0.031,1.4,0.007,78.3,-0.001,95.3,0.005,-0.021,40285.0,12016.0,0.078
Uzbekistan,36.36,1.018,0.311,0.095,85.5,1162007.0,0.035,3.5,0.0148,72.5,0.019,50.5,0.015,0.017,50010.0,1748.0,0.099
Vanuatu,0.33,1.0190000000000001,0.38299999999999995,0.067,26.9,3257.0,0.011000000000000001,3.6,0.017,71.7,0.023,25.3,0.027000000000000003,0.021,701.0,2855.0,0.016
Venezuela,28.41,0.976,0.255,0.14300000000000002,31.0,1324193.0,0.047,2.1,0.0179,72.7,0.004,88.2,0.013999999999999999,0.013000000000000001,393806.0,13714.0,-0.015
Vietnam,100.99,0.96,0.23199999999999998,0.139,322.2,76767.0,0.001,1.9,0.0197,74.7,0.006,35.9,0.032,0.001,147201.0,1684.0,0.11599999999999999
W. Sahara,0.59,1.228,0.231,0.10099999999999999,2.2,5424.0,0.009000000000000001,2.2,0.027,71.6,0.018000000000000002,86.7,0.019,0.015,,,
Wallis and Futuna Islands,0.01,0.907,0.204,0.207,80.6,2040.0,0.18100000000000002,1.4,0.0128,78.7,-0.008,0.0,0.0,-0.021,,,
Yemen,40.58,1.0270000000000001,0.41100000000000003,0.04,76.9,387113.0,0.013000000000000001,4.5,0.038799999999999994,69.4,0.028999999999999998,36.6,0.044000000000000004,0.017,30907.0,1249.0,0.040999999999999995
Zambia,21.32,0.98,0.415,0.033,28.7,187955.0,0.01,4.0,0.0508,66.5,0.027999999999999997,43.5,0.043,0.022000000000000002,20265.0,1469.0,0.10300000000000001
Zanzibar,,,,,,,,,,,,,,,820.0,657.0,0.043
Zimbabwe,16.63,0.9109999999999999,0.409,0.05,43.0,416141.0,0.027999999999999997,3.7,0.0443,63.1,0.019,32.2,0.018000000000000002,0.025,12042.0,938.0,0.19699999999999998
eSwatini,1.24,0.965,0.33399999999999996,0.064,71.6,32858.0,0.027999999999999997,2.7,0.048799999999999996,64.3,0.01,23.8,0.026000000000000002,0.016,4439.0,4036.0,0.038
